email_id,customer_id,subject,feedback_text,priority,created_date,source
EML10065,CUS0185,Detailed Feedback regarding Staff Behaviour - BiryaniBox Guntur,"Had an incredible dine-in experience at BiryaniBox Guntur! The waitstaff was exceptionally polite, welcoming, and attentive to our family's needs throughout dinner. The restaurant captain patiently guided us through the menu options and customized the spice level for our children. Service was prompt, hygienic, and courteous. Outstanding hospitality that sets a benchmark in Guntur.",Critical,21/04/2024,Customer Email
EML10066,CUS0186,Detailed Feedback regarding Staff Behaviour - BiryaniBox Hyderabad,"The management at the Hyderabad branch showed complete apathy when we pointed out a wrong item on our bill. Instead of rectifying the billing error politely, the cashier argued loudly. Shocking lack of basic hospitality training at BiryaniBox Hyderabad. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Critical,2024-01-09,Customer Email
EML10067,CUS0187,Detailed Feedback regarding Pricing - BiryaniBox Visakhapatnam,"Affordable and satisfying meals for student groups and families alike. The portion size of the Special Dum Biryani is huge compared to competing restaurants in Visakhapatnam. Combined with seasonal discounts and cashbacks, BiryaniBox offers the best value biryani in town. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon.",High,2024-02-02,Customer Email
EML10068,,Detailed Feedback regarding Pricing - BiryaniBox Bengaluru,"   Exceptional  value  for  money  at  BiryaniBox  Bengaluru!  The  family  biryani  combo  easily  fed  four  adults  with  generous  portions  of  juicy  chicken,  fragrant  rice,  two  starters,  and  desserts.  Applying  the  promotional  coupon  on  the  app  gave  us  a  flat  20%  discount,  making  the  meal  amazingly  affordable.  Outstanding  price-to-quality  ratio  in  Bengaluru.  Highly  recommended!   ",High,2024-07-17,Customer Email
EML10069,CUS0189,Detailed Feedback regarding Packaging - BiryaniBox Chennai,"Disastrous packaging experience! The salan container burst inside the bag during transit, soaking the entire parcel in oily curry. The biryani box was crushed, and the raita spilled over the starters. Opening the bag was a complete mess, ruining our dining table and wasting half the food. BiryaniBox Chennai needs to replace these cheap plastic lids immediately.",Critical,2024-06-24,Customer Email
EML10070,CUS0190,Detailed Feedback regarding Food Quality - BiryaniBox Pune,"Received cold and stale biryanii from the Pune outlet. The chiken pieces had an unpleasant odor, indicating they were reheated leftovers rather than freshly prepared dum biryanii. To make matters worse, the raita had turned sour. When we raised a complaint, the response was indifferent. Extremely unhygienic and poor food quality that completely ruined our family dinner experience.",Medium,2024-01-15,Customer Email
EML10071,CUS0191,Detailed Feedback regarding Waiting Time - BiryaniBox Mumbai,"Prompt and swift table service! Even with a full dining room, the staff managed orders flawlessly. Starters arrived in 7 minutes and main course biryani was brought out right after. Smooth dining experience without tedious waiting. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Mumbai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",High,2024-07-25,Customer Email
EML10072,CUS0192,Detailed Feedback regarding Staff Behaviour - BiryaniBox Vijayawada,"Appalling staff behavior at BiryaniBox Vijayawada! The waiter was extremely rude, condescending, and indifferent when we politely inquired about our delayed order after 35 minutes of waiting. Rather than resolving the issue, he argued aggressively in front of other guests. Unprofessional conduct that ruined our lunch in Vijayawada. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.",High,2024-05-23,Customer Email
EML10073,CUS0193,Detailed Feedback regarding Pricing - BiryaniBox Guntur,"Affordable and satisfying meals for student groups and families alike. The portion size of the Special Dum Biryani is huge compared to competing restaurants in Guntur. Combined with seasonal discounts and cashbacks, BiryaniBox offers the best value biryani in town. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Medium,2024-03-27,Customer Email
EML10074,CUS0194,Detailed Feedback regarding App Issues - BiryaniBox Hyderabad,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Hyderabad has never been easier or faster. Kudos to the tech development team! http://biryanibox.com/feedback-ref?id=9281",Critical,2024-05-13,Customer Email
EML10075,CUS0195,Detailed Feedback regarding Staff Behaviour - BiryaniBox Visakhapatnam,"Had an incredible dine-in experience at BiryaniBox Visakhapatnam! The waitstaff was exceptionally polite, welcoming, and attentive to our family's needs throughout dinner. The restaurant captain patiently guided us through the menu options and customized the spice level for our children. Service was prompt, hygienic, and courteous. Outstanding hospitality that sets a benchmark in Visakhapatnam. 😡📦👎🏻",Medium,2024-03-16,Customer Email
EML10007,CUS0127,Detailed Feedback regarding Food Quality - BiryaniBox Mumbai,"Received cold and stale biryani from the Mumbai outlet. The chicken pieces had an unpleasant odor, indicating they were reheated leftovers rather than freshly prepared dum biryani. To make matters worse, the raita had turned sour. When we raised a complaint, the response was indifferent. Extremely unhygienic and poor food quality that completely ruined our family dinner experience. 🤢🤮👎",Low,2024-05-08,Customer Email
EML10015,CUS0135,Detailed Feedback regarding Delivery - BiryaniBox Mumbai,"Fantastic delivery experience for our late-night biryani cravings! The rider located our residence in Mumbai effortlessly without calling multiple times for directions. The tin containers retained heat exceptionally well, ensuring the biryani and starter were steaming fresh when opened. Prompt, professional, and reliable service that makes ordering online a total pleasure.",Critical,2024-07-11,Customer Email
EML10048,CUS0168,Detailed Feedback regarding App Issues - BiryaniBox Vijayawada,"Frequent app glitches and login errors! My saved addresses and loyalty points vanished after the latest app update. Customer support chat feature within the app loops endlessly without connecting to an agent. Unusable mobile application! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon. (Follow up note: Customer re-confirmed feedback via call)",Critical,2024-04-05,Customer Email
EML10026,CUS0146,Detailed Feedback regarding App Issues - BiryaniBox Hyderabad,"Flawless digital experience from menu browsing to final payment. The search bar auto-suggests popular starters and combos intelligently. Zero bugs or crashes encountered on Android. Highly refined mobile app! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon. (Follow up note: Customer re-confirmed feedback via call)",Critical,2024-06-06,Customer Email
