post_id,platform,username,feedback_text,engagement,created_date,source
PST10069,LinkedIn,@swathi_mehta61,"The packaging quality from BiryaniBox Guntur is top-class! They use sturdy, eco-friendly tin containers with tamper-evident seals that lock in the heat and aroma effectively. The salan and raita were sealed in thick spill-proof pouches, preventing any messy leaks inside the outer paper bag. Unboxing felt premium and hygienic. Very impressed with the attention to packaging detail in Guntur.","181 likes, 11 retweets/shares",2024-02-11,Social Media
PST10070,Twitter/X,@venkatesh_chowdary33,"Stood outside in the heat for over 45 minutes despite pre-booking a table online! When we finally got seated, the kitchen took another 35 minutes to bring out two basic chicken biryanis. Unacceptable operational delays that test customer patience. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon.","182 likes, 18 retweets/shares",2024-05-25,Social Media
PST10071,Facebook,@srinivas_banerjee55,"Had an incredible dine-in experience at BiryaniBox Visakhapatnam! The waitstaff was exceptionally polite, welcoming, and attentive to our family's needs throughout dinner. The restaurant captain patiently guided us through the menu options and customized the spice level for our children. Service was prompt, hygienic, and courteous. Outstanding hospitality that sets a benchmark in Visakhapatnam.","335 likes, 40 retweets/shares",2024-07-18,Social Media
PST10072,LinkedIn,@vikram_teja52,"Fantastic delivery experience for our late-night biryani cravings! The rider located our residence in Bengaluru effortlessly without calling multiple times for directions. The tin containers retained heat exceptionally well, ensuring the biryani and starter were steaming fresh when opened. Prompt, professional, and reliable service that makes ordering online a total pleasure.","291 likes, 26 retweets/shares",2024-04-23,Social Media
PST10073,Twitter/X,@kavya_iyer77,"We ordered the Hyderabadi Chicken Dum Biryani and Special Boneless Starter from the Chennai branch for a weekend family gathering. The aromatic basmati rice was cooked to perfection with rich ghee, cardamom, and authentic spices that elevated every bite. The chicken pieces were remarkably juicy and tender throughout. The mirchi ka salan and refreshing curd raita complemented the main dish beautifully. Portion size was very generous, easily satisfying our entire group. We will definitely order again soon. 😍🍚❤️","395 likes, 41 retweets/shares",2024-01-29,Social Media
PST10074,LinkedIn,@nikhil_varma29,"Flawless digital experience from menu browsing to final payment. The search bar auto-suggests popular starters and combos intelligently. Zero bugs or crashes encountered on Android. Highly refined mobile app! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon.","208 likes, 4 retweets/shares",2024-04-04,Social Media
PST10075,Twitter/X,@keerthi_raju11,"   Double  payment  deduction  error  at  checkout!  The  gateway  froze  during  processing,  resulting  in  duplicate  charges  for  a  single  biryani  order  from  BiryaniBox  Mumbai.  Bank  confirmed  successful  deduction,  but  the  order  status  remained  pending.  Fix  your  app  payment  integration  immediately!  Furthermore,  the  staff  hygiene  standards  and  overall  brand  consistency  at  BiryaniBox  Mumbai  remain  commendable  across  repeat  visits.  We  look  forward  to  ordering  our  next  meal  here  soon.   ","262 likes, 12 retweets/shares",2024-04-30,Social Media
PST10060,Facebook,@sravan_kumar98,"No cutlery or napkins were included despite ticking the request box in the app. The curry container was cracked on one side, allowing oil to seep through the paper bag onto my car seat during pickup. Careless packaging management that reflects poor attention to detail at BiryaniBox Vijayawada. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.","289 likes, 41 retweets/shares",2024-04-02,Social Media
PST10028,LinkedIn,@siddharth_rao81,"Prompt and swift table service! Even with a full dining room, the staff managed orders flawlessly. Starters arrived in 7 minutes and main course biryanii was brought out right after. Smooth dining experience without tedious wating. Furthermore, the staff hygiene standards and overall brand consistency at biryaniiBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.","352 likes, 25 retweets/shares",2024-07-26,Social Media
PST10031,Facebook,@srinivas_kulkarni84,"Stood outside in the heat for over 45 minutes despite pre-booking a table online! When we finally got seated, the kitchen took another 35 minutes to bring out two basic chicken biryanis. Unacceptable operational delays that test customer patience. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon. (Follow up note: Customer re-confirmed feedback via call)","208 likes, 30 retweets/shares",2024-06-26,Social Media
PST10026,Facebook,@rajesh_gupta63,"Prompt refund processing when an item was out of stock! The auto-refund was credited back to my UPI bank account within 10 minutes with clear SMS updates. Transparent financial handling that builds immense trust with customers in Pune. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon. (Follow up note: Customer re-confirmed feedback via call)","398 likes, 49 retweets/shares",05-Jan-2024,Social Media
