request_id,customer_id,feature_category,feature_title,feedback_text,priority,created_date,source
REQ10069,CUS0209,Payment Options,Enhancement Request: Payment Options for BiryaniBox Guntur,"Slick app experience with instant login via OTP. Saving favorite delivery addresses and re-ordering past meals takes just two taps. Notifications regarding order status and discount offers are timely without feeling spammy. 5 stars for app usability! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Low,2024-07-21,Feature Request Portal
REQ10070,CUS0210,Payment Options,Enhancement Request: Payment Options for BiryaniBox Hyderabad,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Hyderabad has never been easier or faster. Kudos to the tech development team!",Critical,2024-07-08,Feature Request Portal
REQ10071,CUS0211,Menu Options,Enhancement Request: Menu Options for BiryaniBox Visakhapatnam,"Slick app experience with instant login via OTP. Saving favorite delivery addresses and re-ordering past meals takes just two taps. Notifications regarding order status and discount offers are timely without feeling spammy. 5 stars for app usability! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon.",High,23-May-2024,Feature Request Portal
REQ10072,CUS0212,Delivery Customization,Enhancement Request: Delivery Customization for BiryaniBox Bengaluru,"Flawless digital experience from menu browsing to final payment. The search bar auto-suggests popular starters and combos intelligently. Zero bugs or crashes encountered on Android. Highly refined mobile app! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Bengaluru remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Medium,2024-01-23,Feature Request Portal
REQ10073,CUS0213,Loyalty & Rewards,Enhancement Request: Loyalty & Rewards for BiryaniBox Chennai,"Slick app experience with instant login via OTP. Saving favorite delivery addresses and re-ordering past meals takes just two taps. Notifications regarding order status and discount offers are timely without feeling spammy. 5 stars for app usability! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Critical,2024-07-25,Feature Request Portal
REQ10074,CUS0214,Delivery Customization,Enhancement Request: Delivery Customization for BiryaniBox Pune,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Pune has never been easier or faster. Kudos to the tech development team! ⭐⭐⭐⭐⭐",Low,2024-05-12,Feature Request Portal
REQ10075,CUS0215,Delivery Customization,Enhancement Request: Delivery Customization for BiryaniBox Mumbai,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Mumbai has never been easier or faster. Kudos to the tech development team!",Low,2024-02-07,Feature Request Portal
REQ10014,CUS0154,App Functionality,Enhancement Request: App Functionality for BiryaniBox Hyderabad,"Slick app experience with instant login via OTP. Saving favorite delivery addresses and re-ordering past meals takes just two taps. Notifications regarding order status and discount offers are timely without feeling spammy. 5 stars for app usability! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon.",High,2024-07-01,Feature Request Portal
REQ10031,CUS0171,Delivery Customization,Enhancement Request: Delivery Customization for BiryaniBox Visakhapatnam,"Flawless digital experience from menu browsing to final payment. The search bar auto-suggests popular starters and combos intelligently. Zero bugs or crashes encountered on Android. Highly refined mobile app! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon.",High,2024-03-20,Feature Request Portal
REQ10045,CUS0185,Payment Options,Enhancement Request: Payment Options for BiryaniBox Guntur,"Flawless digital experience from menu browsing to final payment. The search bar auto-suggests popular starters and combos intelligently. Zero bugs or crashes encountered on Android. Highly refined mobile app! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon. (Follow up note: Customer re-confirmed feedback via call)",Medium,2024-03-22,Feature Request Portal
REQ10075,CUS0215,Delivery Customization,Enhancement Request: Delivery Customization for BiryaniBox Mumbai,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Mumbai has never been easier or faster. Kudos to the tech development team! (Follow up note: Customer re-confirmed feedback via call)",Low,2024-02-07,Feature Request Portal
